0 0 0,0 1,0 2,0 3,0 4,0 5,0 6,0 7,0
237 0 -1,4 0,4 0,3 0,2 0,1 -1,1 -1,2 -1,3
238 0 0,4 0,3 0,2 0,1 -1,1 -1,2 -1,3 -2,3
239 0 0,5 0,4 0,3 0,2 0,1 -1,1 -1,2 -1,3
240 0 0,5 0,4 0,3 0,2 0,1 -1,1 -1,2 -1,3
241 0 -1,5 0,5 0,4 0,3 0,2 0,1 -1,1 -1,2
242 0 -1,5 0,5 0,4 0,3 0,2 0,1 -1,1 -1,2
243 0 -1,5 0,5 0,4 0,3 0,2 0,1 -1,1 -1,2
244 0 0,5 0,4 0,3 0,2 0,1 -1,1 -1,2 -2,2
245 0 0,5 0,4 0,3 0,2 0,1 -1,1 -1,2 -2,2
246 0 0,5 0,4 0,3 0,2 0,1 -1,1 -1,2 -2,2
247 0 1,5 0,5 0,4 0,3 0,2 0,1 -1,1 -1,2
248 0 1,5 0,5 0,4 0,3 0,2 0,1 -1,1 -1,2
249 0 0,5 0,4 0,3 0,2 0,1 -1,1 -1,2 -1,3
250 0 0,5 0,4 0,3 0,2 0,1 -1,1 -1,2 -1,3
251 0 -1,5 0,5 0,4 0,3 0,2 0,1 -1,1 -1,2
252 0 0,5 0,4 0,3 0,2 0,1 -1,1 -1,2 -2,2
253 0 0,4 0,3 0,2 0,1 -1,1 -1,2 -2,2 -2,1
254 0 0,4 0,3 0,2 0,1 -1,1 -1,2 -2,2 -2,1
255 0 0,4 0,3 0,2 0,1 -1,1 -1,2 -2,2 -2,1
256 0 0,4 0,3 0,2 0,1 -1,1 -1,2 -2,2 -2,1
257 0 0,3 0,2 0,1 -1,1 -1,2 -2,2 -2,1 -2,0
258 0 0,2 0,1 -1,1 -1,2 -2,2 -2,1 -2,0 -1,0
259 0 1,2 0,2 0,1 -1,1 -1,2 -2,2 -2,1 -2,0
260 0 0,2 0,1 -1,1 -1,2 -2,2 -2,1 -2,0 -1,0
261 0 0,2 0,1 -1,1 -1,2 -2,2 -2,1 -2,0 -1,0
262 0 0,1 -1,1 -1,2 -2,2 -2,1 -2,0 -1,0 0,0
263 0 -1,1 -1,2 -2,2 -2,1 -2,0 -1,0 0,0 1,0
264 0 -1,2 -2,2 -2,1 -2,0 -1,0 0,0 1,0 2,0
265 0 -1,3 -1,2 -2,2 -2,1 -2,0 -1,0 0,0 1,0
266 0 -1,4 -1,3 -1,2 -2,2 -2,1 -2,0 -1,0 0,0
267 0 -2,4 -1,4 -1,3 -1,2 -2,2 -2,1 -2,0 -1,0
268 0 -3,4 -2,4 -1,4 -1,3 -1,2 -2,2 -2,1 -2,0
269 0 -2,4 -1,4 -1,3 -1,2 -2,2 -2,1 -2,0 -3,0
270 0 -1,4 -1,3 -1,2 -2,2 -2,1 -2,0 -3,0 -4,0
271 0 -1,3 -1,2 -2,2 -2,1 -2,0 -3,0 -4,0 -4,-1
272 0 -1,2 -2,2 -2,1 -2,0 -3,0 -4,0 -4,-1 -4,-2
273 0 -2,2 -2,1 -2,0 -3,0 -4,0 -4,-1 -4,-2 -3,-2
274 0 -2,1 -2,0 -3,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2
275 0 -2,1 -2,0 -3,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2
276 0 -2,0 -3,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -2,-3
277 0 -2,0 -3,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -2,-3
278 0 -3,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -2,-3 -1,-3
279 0 -3,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -2,-3 -1,-3
280 0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -2,-3 -1,-3 0,-3
281 0 -5,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -2,-3 -1,-3
282 0 -5,1 -5,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -2,-3
283 0 -5,2 -5,1 -5,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2
284 0 -5,2 -5,1 -5,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2
285 0 -5,1 -5,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -2,-3
286 0 -6,1 -5,1 -5,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2
287 0 -6,1 -5,1 -5,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2
288 0 -5,1 -5,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -1,-2
289 0 -5,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -1,-2 -1,-1
290 0 -5,1 -5,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -1,-2
291 0 -4,1 -5,1 -5,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2
292 0 -4,2 -4,1 -5,1 -5,0 -4,0 -4,-1 -4,-2 -3,-2
293 0 -4,1 -5,1 -5,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2
294 0 -5,1 -5,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -2,-1
295 0 -5,1 -5,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -2,-1
296 0 -5,0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -2,-1 -2,0
297 0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -2,-1 -2,0 -1,0
298 0 -4,1 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -2,-1 -2,0
299 0 -4,1 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -2,-1 -2,0
300 0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -2,-1 -2,0 -3,0
301 0 -4,-1 -4,-2 -3,-2 -2,-2 -2,-1 -2,0 -3,0 -3,1
302 0 -4,0 -4,-1 -4,-2 -3,-2 -2,-2 -2,-1 -2,0 -3,0
303 0 -4,-1 -4,-2 -3,-2 -2,-2 -2,-1 -2,0 -3,0 -3,1
304 0 -4,-2 -3,-2 -2,-2 -2,-1 -2,0 -3,0 -3,1 -4,1
305 0 -5,-2 -4,-2 -3,-2 -2,-2 -2,-1 -2,0 -3,0 -3,1
306 0 -6,-2 -5,-2 -4,-2 -3,-2 -2,-2 -2,-1 -2,0 -3,0
307 0 -6,-2 -5,-2 -4,-2 -3,-2 -2,-2 -2,-1 -2,0 -3,0
308 0 -6,-2 -5,-2 -4,-2 -3,-2 -2,-2 -2,-1 -2,0 -3,0
309 0 -6,-2 -5,-2 -4,-2 -3,-2 -2,-2 -2,-1 -2,0 -3,0
310 0 -6,-2 -5,-2 -4,-2 -3,-2 -2,-2 -2,-1 -2,0 -3,0
311 0 -7,-2 -6,-2 -5,-2 -4,-2 -3,-2 -2,-2 -2,-1 -2,0
312 0 -7,-2 -6,-2 -5,-2 -4,-2 -3,-2 -2,-2 -2,-1 -2,0
313 0 -7,-3 -7,-2 -6,-2 -5,-2 -4,-2 -3,-2 -2,-2 -2,-1
314 0 -7,-4 -7,-3 -7,-2 -6,-2 -5,-2 -4,-2 -3,-2 -2,-2
315 0 -7,-3 -7,-2 -6,-2 -5,-2 -4,-2 -3,-2 -2,-2 -2,-1
316 0 -7,-2 -6,-2 -5,-2 -4,-2 -3,-2 -2,-2 -2,-1 -2,0
317 0 -7,-3 -7,-2 -6,-2 -5,-2 -4,-2 -3,-2 -2,-2 -2,-1
318 0 -7,-4 -7,-3 -7,-2 -6,-2 -5,-2 -4,-2 -3,-2 -2,-2
319 0 -7,-4 -7,-3 -7,-2 -6,-2 -5,-2 -4,-2 -3,-2 -2,-2
320 0 -8,-4 -7,-4 -7,-3 -7,-2 -6,-2 -5,-2 -4,-2 -3,-2
321 0 -8,-3 -8,-4 -7,-4 -7,-3 -7,-2 -6,-2 -5,-2 -4,-2
322 0 -8,-3 -8,-4 -7,-4 -7,-3 -7,-2 -6,-2 -5,-2 -4,-2
323 0 -8,-2 -8,-3 -8,-4 -7,-4 -7,-3 -7,-2 -6,-2 -5,-2
324 0 -8,-2 -8,-3 -8,-4 -7,-4 -7,-3 -7,-2 -6,-2 -5,-2
325 0 -8,-2 -8,-3 -8,-4 -7,-4 -7,-3 -7,-2 -6,-2 -5,-2
326 0 -8,-2 -8,-3 -8,-4 -7,-4 -7,-3 -7,-2 -6,-2 -5,-2
327 0 -8,-2 -8,-3 -8,-4 -7,-4 -7,-3 -7,-2 -6,-2 -5,-2
328 0 -8,-3 -8,-4 -7,-4 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1
329 0 -8,-3 -8,-4 -7,-4 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1
330 0 -8,-4 -7,-4 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1 -6,-1
331 0 -8,-4 -7,-4 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1 -6,-1
332 0 -7,-4 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1 -6,-1 -6,0
333 0 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1 -6,-1 -6,0 -7,0
334 0 -7,-2 -6,-2 -5,-2 -5,-1 -6,-1 -6,0 -7,0 -7,-1
335 0 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1 -6,-1 -6,0 -7,0
336 0 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1 -6,-1 -6,0 -7,0
337 0 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1 -6,-1 -6,0 -7,0
338 0 -6,-3 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1 -6,-1 -6,0
339 0 -6,-3 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1 -6,-1 -6,0
340 0 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1 -6,-1 -6,0 -5,0
341 0 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1 -6,-1 -6,0 -5,0
342 0 -8,-3 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1 -6,-1 -6,0
343 0 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1 -6,-1 -6,0 -5,0
344 0 -8,-3 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1 -6,-1 -6,0
345 0 -8,-3 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1 -6,-1 -6,0
346 0 -8,-3 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1 -6,-1 -6,0
347 0 -8,-3 -7,-3 -7,-2 -6,-2 -5,-2 -5,-1 -6,-1 -6,0
